№,Реальныйрейтинг,Уникальныйкод,Номерличногодела,Баллприоритет 1,Баллприоритет 2,Баллприоритет 3,Суммабаллов попредметам,СуммаИД,Суммацелевых ИД,Конкурсныйбалл,Общежитие,Согласие,Приоритет,Основнойвысшийприоритет,Высшийпроходнойприоритет,Льгота,Номерпредложения,Номерзаказчика,Имеетсязаявка,Предложениена РВР,Преимущественноеправо,Статус вГосуслугах,Примечание
227,,4202938,141883,64,56,58,178,0,0,178,нужд.,нет,1,,,0,,,,нет,,Участвует в конкурсе,
228,,4103444,141026,70,51,54,175,2,0,177,нужд.,нет,1,,,0,,,,нет,,Участвует в конкурсе,
229,,3901336,138087,58,59,60,177,0,0,177,нужд.,нет,3,,,0,,,,нет,,Участвует в конкурсе,
230,,4106942,139801,64,54,58,176,0,0,176,не нужд.,нет,1,,,0,,,,нет,,Участвует в конкурсе,
231,,3878389,135230,58,58,60,176,0,0,176,не нужд.,нет,3,,,0,,,,нет,,Участвует в конкурсе,
232,,4102516,137990,52,64,60,176,0,0,176,не нужд.,нет,2,,,0,,,,нет,,На рассмотрении,
233,,3793047,133305,52,56,66,174,2,0,176,нужд.,нет,3,,,0,,,,нет,,Участвует в конкурсе,
234,,4206936,141887,64,51,60,175,0,0,175,нужд.,нет,1,,,0,,,,нет,,Участвует в конкурсе,
235,,3928084,137639,58,51,64,173,2,0,175,нужд.,нет,1,,,0,,,,нет,,Участвует в конкурсе,
236,,4183521,141502,46,62,67,175,0,0,175,нужд.,нет,2,,,0,,,,нет,,Участвует в конкурсе,
237,,3697041,131831,64,53,57,174,0,0,174,не нужд.,нет,2,,,0,,,,нет,,На рассмотрении,
238,,3616064,130629,74,48,51,173,0,0,173,не нужд.,нет,1,,,0,,,,нет,,На рассмотрении,
239,,3760720,132684,72,44,57,173,0,0,173,нужд.,нет,4,,,0,,,,нет,,На рассмотрении,
240,,4108301,139942,74,46,52,172,0,0,172,не нужд.,нет,4,,,0,,,,нет,,Участвует в конкурсе,
241,,3614547,130621,64,53,55,172,0,0,172,нужд.,нет,3,,,0,,,,нет,,На рассмотрении,
242,,3940313,136139,58,51,61,170,2,0,172,не нужд.,нет,1,,,0,,,,нет,,Участвует в конкурсе,
243,,3996297,138830,72,59,40,171,0,0,171,не нужд.,нет,4,,,0,,,,нет,,На рассмотрении,
244,,4194571,141728,64,54,52,170,0,0,170,нужд.,нет,7,,,0,,,,нет,,Участвует в конкурсе,
245,,3925777,135806,64,48,58,170,0,0,170,нужд.,нет,2,6,,0,,,,нет,,На рассмотрении,
246,,3924355,135779,64,48,55,167,3,0,170,не нужд.,нет,5,,,0,,,,нет,,На рассмотрении,
247,,3591872,130466,52,54,64,170,0,0,170,не нужд.,нет,1,,,0,,,,нет,,На рассмотрении,
248,,4172584,141348,46,67,55,168,0,0,168,нужд.,нет,1,,,0,,,,нет,,На рассмотрении,
